Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),100163306020W502,,Dduvernay,AB,KAYBOB SOUTH,24221353.48,0,0,0.2921,0.5,,0.5,10850.72213,0.017,48301568.54,0,821126.6651,24975.93606,3.1025,24979.03856,3727274.098,0.3,3,2.97151315,,
Bakken (SK),102071306119W502,,Dduvernay,AB,KAYBOB SOUTH,1974668.976,0,0,0.644,0.5,,0.5,10420.60401,0.534,1938533.697,31.961,1035176.994,31486.63357,97.455,31584.08857,3727274.098,0.3,3.2,3.185103541,,
Bakken (SK),103071306119W500,,Dduvernay,AB,KAYBOB SOUTH,1974668.976,0,0,0.644,0.5,,0.5,10420.27592,0.644,939925.667,18.898,605312.1295,18411.57727,117.53,18529.10727,3727274.098,0.3,3.2,3.210883301,,
Bakken (SK),102161706119W500,,Dduvernay,AB,KAYBOB SOUTH,11698.4545,4.751,0,0.357,0.5,,0.5,10651.90323,54.678,23397.078,0,1279305.431,38912.20686,9978.735,48890.94186,3727274.098,0.5,6.2,7.810790174,,
Bakken (SK),102140806120W500,,Dduvernay,AB,KAYBOB SOUTH,14066660.52,0,0,0.1829,0.5,,0.5,10915.35468,0.041,28082057.02,0,1151364.338,35020.66528,7.4825,35028.14778,3727274.098,0.3,2.9,2.85919478,,
Bakken (SK),100041506121W500,,Dduvernay,AB,KAYBOB SOUTH,172497242.1,0.0092,0.0081,0.6364,0.5,,0.5,11313.32057,0.069,11903303.62,1103.1,821327.9497,24982.05847,12.5925,24994.65097,3727274.098,0.2,3.2,3.1717532,,
Bakken (SK),100163206121W500,,Dduvernay,AB,KAYBOB SOUTH,36783266.18,0,0.0157,0.2591,0.5,,0.5,10928.47804,0.031,52221705.6,0,1618872.874,49240.71657,5.6575,49246.37407,3727274.098,0.2,2.3,2.27299211,,
Bakken (SK),102163206121W500,,Dduvernay,AB,KAYBOB SOUTH,36783266.18,0,0.0157,0.2591,0.5,,0.5,10925.52528,0.028,44335251.11,0,1241387.031,37758.85553,5.11,37763.96553,3727274.098,0.2,2.3,2.282694783,,
Bakken (SK),100012406122W500,,Dduvernay,AB,KAYBOB SOUTH,22745.13817,0,0,1.1447,0.5,,0.5,11642.06074,2.564,45490.605,0,116637.9112,3547.736466,467.93,4015.666466,3727274.098,0.4,3.2,3.669469545,,
Bakken (SK),100011506220W500,,Dduvernay,AB,KAYBOB SOUTH,3336333.403,0,0,0.1379,0.5,,0.5,10432.74312,0.034,87672501.13,0,2980865.038,90667.97825,6.205,90674.18325,3727274.098,0.2,2.2,2.236342072,,
