Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),100092106320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10056.75885,0.128,1194551.201,0,152902.5537,4650.786008,23.36,4674.146008,4709281.158,0.2,2.8,2.814063859,,
Bakken (SK),102012206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10171.91634,1.062,350878.131,0,372632.5751,11334.24083,193.815,11528.05583,4709281.158,0.2,2.6,2.644459881,,
Bakken (SK),100112206320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9969.160424,0.128,3065286.363,152.243,392356.6545,11934.18157,23.36,11957.54157,4709281.158,0.2,2.8,2.805480728,,
Bakken (SK),103132206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10145.9977,0.589,984399.562,0,579811.342,17635.92832,107.4925,17743.42082,4709281.158,0.2,2.6,2.615847224,,
Bakken (SK),100072306320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10205.3809,0.958,536359.065,0,513831.9843,15629.05619,174.835,15803.89119,4709281.158,0.2,2.7,2.730203647,,
Bakken (SK),102102306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9963.582996,0.751,1201583.066,125.339,902388.8826,27447.66185,137.0575,27584.71935,4709281.158,0.2,2.8,2.813981555,,
Bakken (SK),100022506320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9985.23654,0.014,60551014.31,10139.25,847714.2003,25784.64026,2.555,25787.19526,4709281.158,0.2,2.9,2.900287361,,
Bakken (SK),100132606320W500,,Dduvernay,AB,KAYBOB,3250092.501,0,0,0.7849,0.5,,0.5,9838.254908,0.396,916552.291,0,362954.7072,11039.87234,72.27,11112.14234,4709281.158,0.3,3.3,3.321602695,,
Bakken (SK),103042806320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9883.5305,0.01,168235004.8,0,1682350.048,51171.48063,1.825,51173.30563,4709281.158,0.2,2.7,2.700096294,,
Bakken (SK),104042806320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10073.81922,0.121,11775811.34,0,1424873.172,43339.89232,22.0825,43361.97482,4709281.158,0.2,2.7,2.701375701,,
Bakken (SK),102062806320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10042.32316,0.165,7148247.167,0,1179460.783,35875.26548,30.1125,35905.37798,4709281.158,0.2,2.7,2.70226629,,
Bakken (SK),102122906320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10023.95045,1.282,802922.768,0,1029346.989,31309.30425,233.965,31543.26925,4709281.158,0.2,2.7,2.720176287,,
Bakken (SK),100093306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10034.12106,0.248,1131894.505,0,280709.8372,8538.257548,45.26,8583.517548,4709281.158,0.2,2.9,2.915372457,,
Bakken (SK),100103306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9958.005568,0.045,5452672.858,0,245370.2786,7463.345974,8.2125,7471.558474,4709281.158,0.2,2.8,2.803081058,,
Bakken (SK),103163306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9968.176172,0.159,1558671.065,0,247828.6993,7538.122937,29.0175,7567.140437,4709281.158,0.2,2.9,2.911163356,,
Bakken (SK),103083406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10022.31003,0.238,1881471.802,327.072,447790.2889,13620.28795,43.435,13663.72295,4709281.158,0.2,2.6,2.608291381,,
Bakken (SK),103123406320W500,,Dduvernay,AB,KAYBOB,1469807.082,0.0248,0,1.2134,0.417,,0.417,9906.824464,4.425,217895.003,0,964185.3883,24458.97284,673.507125,25132.47996,4709281.158,0.2,2.7,2.774347735,,
Bakken (SK),103133406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9930.118428,0.283,653488.555,0,184937.2611,5625.175025,51.6475,5676.822525,4709281.158,0.2,2.9,2.926626327,,
Bakken (SK),104133406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9980.971448,1.075,398782.939,111.26,428691.6594,13039.37131,196.1875,13235.55881,4709281.158,0.2,2.8,2.842128181,,
Bakken (SK),104163406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9998.031816,0.117,8046430.261,1760.912,941432.3405,28635.23369,21.3525,28656.58619,4709281.158,0.2,2.8,2.802087882,,
Bakken (SK),100050606419W500,,Dduvernay,AB,KAYBOB,1427501.716,0.0294,0,1.2133,0.417,,0.417,9913.386144,8.962,97806.552,0,876542.319,22235.68728,1364.06121,23599.74849,4709281.158,0.3,2.9,3.077902192,,
Bakken (SK),100060606419W500,,Dduvernay,AB,KAYBOB,1771068.634,0.0027,0,1.2136,0.5,,0.5,9766.076428,14.944,90705.594,0,1355504.397,41229.92541,2727.28,43957.20541,4709281.158,0.2,2.7,2.87859979,,
